timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1737477886710,1231,-38,200,OK,Thread Group 1-1,text,true,,5378,3087,2,2,https://betamg.ghtcorptest.com/(S(td3ufn1d0yl51w0d4u1zkhac))/Default_new.aspx,1032,0,849
1737477886710,1032,-38-0,302,Found,Thread Group 1-1,text,true,,800,2162,2,2,https://betamg.ghtcorptest.com/(S(byjrclzz31h2swfb25prkbe1))/Default_new.aspx,1032,0,849
1737477887747,194,-38-1,200,OK,Thread Group 1-1,text,true,,4578,925,2,2,https://betamg.ghtcorptest.com/(S(td3ufn1d0yl51w0d4u1zkhac))/Default_new.aspx,192,0,0
1737477887534,594,-38,200,OK,Thread Group 1-2,text,true,,5365,3088,2,2,https://betamg.ghtcorptest.com/(S(fmuaildv3mnv3vpc0afgkkxc))/Default_new.aspx,445,0,293
1737477887534,445,-38-0,302,Found,Thread Group 1-2,text,true,,800,2163,2,2,https://betamg.ghtcorptest.com/(S(byjrclzz31h2swfb25prkbe1))/Default_new.aspx,445,0,293
1737477887979,149,-38-1,200,OK,Thread Group 1-2,text,true,,4565,925,2,2,https://betamg.ghtcorptest.com/(S(fmuaildv3mnv3vpc0afgkkxc))/Default_new.aspx,149,0,0
1737477887945,293,-39,200,OK,Thread Group 1-1,text,true,,5760,1658,2,2,https://betamg.ghtcorptest.com/(S(bukppjhdsisama3oqhyp2vq2))/Main.aspx,146,0,0
1737477887945,146,-39-0,302,Found,Thread Group 1-1,text,true,,380,829,2,2,https://betamg.ghtcorptest.com/(S(byjrclzz31h2swfb25prkbe1))/Main.aspx,146,0,0
1737477888091,147,-39-1,200,OK,Thread Group 1-1,text,true,,5380,829,2,2,https://betamg.ghtcorptest.com/(S(bukppjhdsisama3oqhyp2vq2))/Main.aspx,147,0,0
1737477888130,264,-39,200,OK,Thread Group 1-2,text,true,,5768,1658,2,2,https://betamg.ghtcorptest.com/(S(ptp1ltwo2hgmw0mdavyv2xns))/Main.aspx,131,0,0
1737477888130,131,-39-0,302,Found,Thread Group 1-2,text,true,,380,829,2,2,https://betamg.ghtcorptest.com/(S(byjrclzz31h2swfb25prkbe1))/Main.aspx,131,0,0
1737477888261,133,-39-1,200,OK,Thread Group 1-2,text,true,,5388,829,2,2,https://betamg.ghtcorptest.com/(S(ptp1ltwo2hgmw0mdavyv2xns))/Main.aspx,133,0,0
1737477888240,299,-66,200,OK,Thread Group 1-1,text,true,,3500,1600,3,3,https://betamg.ghtcorptest.com/(S(zf5eqqz2zd5q2rdy4ti3smos))/Header2.aspx,147,0,0
1737477888240,147,-66-0,302,Found,Thread Group 1-1,text,true,,386,800,3,3,https://betamg.ghtcorptest.com/(S(byjrclzz31h2swfb25prkbe1))/Header2.aspx,147,0,0
1737477888387,152,-66-1,200,OK,Thread Group 1-1,text,true,,3114,800,3,3,https://betamg.ghtcorptest.com/(S(zf5eqqz2zd5q2rdy4ti3smos))/Header2.aspx,152,0,0
1737477888396,305,-66,200,OK,Thread Group 1-2,text,true,,3489,1600,3,3,https://betamg.ghtcorptest.com/(S(pghbzqumt4541bztjqtddwqh))/Header2.aspx,144,0,0
1737477888396,144,-66-0,302,Found,Thread Group 1-2,text,true,,386,800,3,3,https://betamg.ghtcorptest.com/(S(byjrclzz31h2swfb25prkbe1))/Header2.aspx,144,0,0
1737477888541,160,-66-1,200,OK,Thread Group 1-2,text,true,,3103,800,3,3,https://betamg.ghtcorptest.com/(S(pghbzqumt4541bztjqtddwqh))/Header2.aspx,160,0,0
1737477888540,464,-68,200,OK,Thread Group 1-1,text,true,,3485,2477,3,3,https://betamg.ghtcorptest.com/(S(c0230dwnwqhsivg1hsmxjuda))/UnhandledEventLogException.aspx?aspxerrorpath=/General/MenuHtml5.aspx,161,0,0
1737477888540,161,-68-0,302,Found,Thread Group 1-1,text,true,,406,810,3,3,https://betamg.ghtcorptest.com/(S(byjrclzz31h2swfb25prkbe1))/General/MenuHtml5.aspx,161,0,0
1737477888701,153,-68-1,302,Found,Thread Group 1-1,text,true,,553,810,3,3,https://betamg.ghtcorptest.com/(S(c0230dwnwqhsivg1hsmxjuda))/General/MenuHtml5.aspx,153,0,0
1737477888855,149,-68-2,200,OK,Thread Group 1-1,text,true,,2526,857,3,3,https://betamg.ghtcorptest.com/(S(c0230dwnwqhsivg1hsmxjuda))/UnhandledEventLogException.aspx?aspxerrorpath=/General/MenuHtml5.aspx,149,0,0
1737477888530,604,-38,200,OK,Thread Group 1-3,text,true,,5368,3089,3,3,https://betamg.ghtcorptest.com/(S(ci51vv5bvruypnbr1ltmrkg5))/Default_new.aspx,428,0,294
1737477888530,428,-38-0,302,Found,Thread Group 1-3,text,true,,800,2164,3,3,https://betamg.ghtcorptest.com/(S(byjrclzz31h2swfb25prkbe1))/Default_new.aspx,428,0,294
1737477888958,176,-38-1,200,OK,Thread Group 1-3,text,true,,4568,925,3,3,https://betamg.ghtcorptest.com/(S(ci51vv5bvruypnbr1ltmrkg5))/Default_new.aspx,176,0,0
